# IEL
ID	Taxa	Gloss	GlossID	OriginalForm	IPA	Tokens	CogID
# 
1	English	all	1	ɔ:l	ɔːl	ɔː l	1
2	German	all	1	'alə	alə	a l ə	1
3	Armenian_Mod	all	1	boˈloɾ	boloɾ	b o l o ɾ	10
4	Greek_Mod	all	1	ˈo̞lo̞s	o̞lo̞s	o̞ l o̞ s	4
5	Italian	all	1	'tutto	tutto	t u tː o	2
6	Marathi	all	1	'səɾwə, 'səgɭə	səɾwə	s ə ɾ w ə	5
7	Danish	all	1	ɛl	ɛl	ɛ l	1
8	Portuguese_ST	all	1	ˈtoðu	toðu	t o ð u	2
9	French	all	1	tu	tu	t u	6
10	Russian	all	1	vsʲo	vsʲo	v sʲ o	7
11	Spanish	all	1	'toðo	toðo	t o ð o	2
12	Swedish	all	1	ˈala	ala	a l a	1
13	Bihari	all	1	səb	səb	s ə b	3
14	Oriya	all	1	sɔbɔ	sɔbɔ	s ɔ b ɔ	3
15	Dutch_List	all	1	'ɑləs	ɑləs	ɑ l ə s	4
16	Czech	all	1	fʃɪxɲɪ	fʃɪxɲɪ	f ʃ ɪ x ɲ ɪ	8
17	Breton_ST	all	1	ɔl	ɔl	ɔ l	1
18	Catalan	all	1	tot	tot	t o t	2
19	Urdu	all	1	səb	səb	s ə b	3
20	Polish	all	1	ˈkaʒdɨ	kaʒdɨ	k a ʒ d ɨ	9
# 
21	Armenian_Mod	and	2	jɛv	jɛv	j ɛ v	17
22	Breton_ST	and	2	a	a	a	13
23	Catalan	and	2	i	i	i	13
24	Czech	and	2	a	a	a	13
25	Danish	and	2	ɒw, ʌ	ɒw	ɒ w	12
26	Dutch_List	and	2	ɛn	ɛn	ɛ n	16
27	English	and	2	ænd	ænd	æ n d	15
28	French	and	2	e	e	e	13
29	German	and	2	ʊnt	ʊnt	ʊ n t	15
30	Greek_Mod	and	2	ce̞, c(i)	ce̞	c e̞	11
31	Italian	and	2	e, ed	e	e	13
32	Marathi	and	2	'ani	ani	a n i	16
33	Polish	and	2	i	i	i	13
34	Portuguese_ST	and	2	i	i	i	13
35	Russian	and	2	i	i	i	13
36	Spanish	and	2	i	i	i	13
37	Swedish	and	2	ɔ(kː)	ɔkː	ɔ kː	11
38	Oriya	and	2	o	o	o	13
39	Bihari	and	2	aur	aur	au r	14
40	Urdu	and	2	ʔɔɾ	ʔɔɾ	ʔ ɔ ɾ	18
# 
41	Armenian_Mod	animal	3	kɛntʰɑˈni	kɛntʰɑni	k ɛ n tʰ ɑ n i	27
42	Breton_ST	animal	3	ɑ̃ˈneval	ɑ̃neval	ɑ̃ n e v a l	29
43	Catalan	animal	3	əni’mal	ənimal	ə n i m a l	21
44	Czech	animal	3	zviːr̝ɛ	zviːr̝ɛ	z v iː r̝ ɛ	26
45	Danish	animal	3	ˈd̥yːʌ, 'd̥yɐ̯	d̥yːʌ	d̥ yːʌ	20
46	Dutch_List	animal	3	dir	dir	d i r	28
47	English	animal	3	'ænɪməl	ænɪməl	æ n ɪ m ə l	21
48	French	animal	3	animal	animal	a n i m a l	21
49	German	animal	3	ti:ɐ̯	tiːɐ̯	t iːɐ̯	20
50	Greek_Mod	animal	3	ˈzo̞ˌo̞	zo̞o̞	z o̞o̞	23
51	Italian	animal	3	ani'male	animale	a n i m a l e	21
52	Polish	animal	3	ˈzvʲɛʒɛ̃	zvʲɛʒɛ̃	z vʲ ɛ ʒ ɛ̃	26
53	Portuguese_ST	animal	3	ɐniˈmaɫ	ɐnimaɫ	ɐ n i m a ɫ	21
54	Russian	animal	3	ʒɨ'votnoe	ʒɨvotnoe	ʒ ɨ v o t n oe	26
55	Spanish	animal	3	ani'mal	animal	a n i m a l	21
56	Swedish	animal	3	jʉːr	jʉːr	j ʉː r	19
57	Oriya	animal	3	praṇi	praɳi	p r a ɳ i	22
58	Oriya	animal	3	pɔsu	pɔsu	p ɔ s u	30
59	Bihari	animal	3	janbər	janbər	j a n b ə r	24
60	Oriya	animal	3	ǰɔntu	ǰɔntu	ǰ ɔ n t u	24
61	Urdu	animal	3	ʤɑnwəɾ	ʤɑnwəɾ	ʤ ɑ n w ə ɾ	27
62	Breton_ST	animal	3	lo.ɛ̃n	lo.ɛ̃n	l o ɛ̃ n	31
63	Marathi	animal	3	dzən'awəɾ	dzənawəɾ	d z ə n a w ə ɾ	25
# 
64	Armenian_Mod	ashes	4	moˈχiɾ	moχiɾ	m o χ i ɾ	42
65	Breton_ST	ashes	4	'ly:dy	lyːdy	l yː d y	43
66	Catalan	ashes	4	'sɛndrə	sɛndrə	s ɛ n d r ə	44
67	Czech	ashes	4	popɛl	popɛl	p o p ɛ l	41
68	Danish	ashes	4	ˈasg̥ʰə	asg̥ʰə	a s g̥ʰ ə	33
69	Dutch_List	ashes	4	ɑs	ɑs	ɑ s	37
70	English	ashes	4	æʃɪz	æʃɪz	æ ʃ ɪ z	34
71	French	ashes	4	sɑ̃dʀ	sɑ̃dʀ	s ɑ̃ d ʀ	32
72	German	ashes	4	'aʃə	aʃə	a ʃ ə	37
73	Greek_Mod	ashes	4	ˈstaxti	staxti	s t a x t i	32
74	Italian	ashes	4	'tʃenere	ʧenere	ʧ e n e r e	45
75	Marathi	ashes	4	ɾakʰ	ɾakʰ	ɾ a kʰ	38
76	Polish	ashes	4	ˈpɔpʲuw	pɔpʲuw	p ɔ pʲ u w	41
77	Portuguese_ST	ashes	4	ˈsĩzɐʃ	sĩzɐʃ	s ĩ z ɐ ʃ	34
78	Russian	ashes	4	zo'la	zola	z o l a	40
79	Spanish	ashes	4	θe'niθas	θeniθas	θ e n i θ a s	39
80	Swedish	ashes	4	stɔft	stɔft	s t ɔ f t	32
81	Bihari	ashes	4	chaur	cʰaur	cʰ au r	36
82	Oriya	ashes	4	bhɔsmoɔ	bʱɔsmoɔ	bʱ ɔ s m oɔ	35
83	Oriya	ashes	4	pãũsɔ	paːũsɔ	p aːũ s ɔ	35
84	Urdu	ashes	4	ɾɑkʰ	ɾɑkʰ	ɾ ɑ kʰ	38
85	Swedish	ashes	4	'aska	aska	a s k a	33
86	Marathi	ashes	4	'bʱəsmə	bʱəsmə	bʱ ə s m ə	35
# 
87	Catalan	at	5	a	a	a	52
88	Czech	at	5	ʊ	ʊ	ʊ	52
89	Danish	at	5	veð	veð	v e ð	46
90	Dutch_List	at	5	tə	tə	t ə	51
91	English	at	5	æt	æt	æ t	51
92	French	at	5	a	a	a	52
93	German	at	5	an	an	a n	50
94	Greek_Mod	at	5	se̞	se̞	s e̞	49
95	Italian	at	5	a, ad	a	a	52
96	Marathi	at	5	t, tʰe	t	t	51
97	Polish	at	5	v	v	v	53
98	Portuguese_ST	at	5	ɐ̃j	ɐ̃j	ɐ̃ j	47
99	Russian	at	5	v	v	v	53
